scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN4503	152			混み合うファーストフードショップで、簡単な昼食を済ませた。	At a crowded fast food joint, I eat a quick lunch.
SEEN4503	154			そのままコーヒー一杯で時間を潰す。	I kill some time over a cup of coffee.
SEEN4503	156			賑わう店の間に書店があった。	Next to this busy store is a bookstore.
SEEN4503	158			見慣れた髪飾りが出て来ないか、思わず探してしまう。	I can't help but go look for the person with the familiar hair decoration.
SEEN4503	160			連休初日の午後は、そんな風に過ぎていった。	The first day of the long weekend ends uneventfully.
SEEN4503	162			一人でいるのがいちばん気楽だった頃の自分が、今は信じられなかった。	I can't believe that I'm the same person who once preferred to be alone.
SEEN4503	209			行き先を決めずに歩いていたら、ここに来てしまった。	With no destination in mind, I wander all the way here.
SEEN4503	211			当然、誰もいるはずもない。	Naturally, no one is around.
SEEN4503	213	＊Ｂ	＊Ｂ	（何やってるんだろうな？　俺…）	`＊Ｂ@What am I doing...?
SEEN4503	215			これではことみを笑えない、と思う。	I have no right to make fun of Kotomi.
SEEN4503	217			闇がすぐそこまで来ている。	Darkness is setting in.
SEEN4503	219			太陽が山際に近づくにつれ、風が冷たくなっていくのがはっきりとわかる。	As the sun inches closer to the mountains, I can feel the wind getting colder.
SEEN4503	221			しばらくそのまま、歩道に佇んでいた。	I stay a while, loitering on the street.
SEEN4503	223			ことみと遊びに行くのは楽しみだし、ことみの方から誘ってきてくれたのも嬉しい。	I'm looking forward to going out with Kotomi, and I'm happy that she asked me out.
SEEN4503	225			ただ…頭のずっと奥の方に、何かが引っかかっている。	But there's something I can't get out of my head.
SEEN4503	227			一人になったり、ふとした拍子にそう感じることがある。	Sometimes it comes to me out of nowhere when I'm alone.
SEEN4503	229			無理に言葉にするなら、それは淡い後悔だ。	If I had to describe it, I'd say it's a faint sort of regret.
SEEN4503	231			また風が吹き抜けていく。	The wind gusts.
SEEN4503	234			いつもことみが一人で帰っていく、俺が知らない道…	This is a path I'm not familiar with, the path Kotomi takes by herself.
SEEN4503	286	紳士	男士	「君はこの前…	`Gentleman@I saw you the other day with... 
SEEN4503	288			ことみくんと一緒にいた…」	Kotomi-kun...
SEEN4504	492			なんでやね	 the
SEEN4504	498			～～～～んっ!!」	 would you go there?!
SEEN4504	1603			ちょっぴり自虐的に呟く。	I mumble that in a self-deprecating way.
SEEN4504	1605			こいつらに嗅ぎつけられた時点で、既に作戦は失敗している。	The mission failed the moment these guys sniffed us out.
SEEN4504	1607			みんなに会えたことみが嬉しそうなのだけが救いだった。	The only good thing is that Kotomi seems really happy to see them.
SEEN4504	2421			　それ以前にまた俺のおごりかよっ！」	And why is it my treat again?!
SEEN4504	3034			全長は優に１メートルはある。	It's over a meter tall.
SEEN4504	3084	杏	杏	「もっと落ちる寸前にしてっ…	`Kyou@Make it so it's close to falling right off and... 
SEEN4504	3086			あっそうそう、そんな感じ」	yeah, that's right. That's good.
SEEN4504	4432			誕生日、ほんとに何がほしい？」	what do you want for your birthday?
SEEN4505	614	＊Ｂ	＊Ｂ	「ところで、昨日と同じ服みたいだな」	`＊Ｂ@By the way, you're wearing the same dress as yesterday.
SEEN4505	1662			えーと、おまえが『わるもの』って言ってた人な」	 the man you called a ❝bad guy.❞
SEEN4505	2087	＊Ｂ	＊Ｂ	「それじゃあさ…」	`＊Ｂ@In that case...
SEEN4505	2435			　つーか、その鍋なんか臭うぞ。ぜったいヤバそうな臭いだぞ」	Actually, that pot kinda smells. It smells dangerous.
SEEN4505	2593			　つーかなんで占いでそんなことがわかるんだよっ！」	And how could you tell that by fortune telling anyway?
SEEN4506	731			面白いかどうかは別として。	Whether it's funny or not is an entirely different matter.
SEEN4507	653			どさっ。	*Thud*
SEEN4507	655			重く、鈍い音がした。	I hear a dull, heavy sound.
SEEN4507	657			杏の手から、鞄が滑り落ちた音だった。	It was Kyou's bag slipping from her grip and falling to the ground.
SEEN4508	242			小さな女の子のように見えた。	a little girl to me.
SEEN4508	376	＊Ｂ	＊Ｂ	「一ノ瀬の家を教えてほしいんですが」	`＊Ｂ@Please tell me Ichinose's address.
SEEN4508	1577			お母さんの声はおうたのようにひびくから、私はだいすきだった。	I loved my mother's voice because it always reverberated like a song to me.
SEEN4508	1579			お母さんのほっぺたは、くすぐったくて、やわらかくて、あたたかくて…	My mother's cheek was ticklish, soft, and warm...
SEEN4508	1582			とっても、しあわせだった。	I was so happy.
SEEN4508	1600			自分のお家と芝生のお庭と、お父さんとお母さん。	My mother and father, at our home in the garden with freshly cut grass.
SEEN4508	1602			私の世界は、それでぜんぶだった。	That was my whole world.
SEEN4508	1604			小学校にあがっても、それはかわらなかった。	Even when I entered elementary school, that didn't change.
SEEN4508	1606			先生の机にあったご本を読もうとしたら、クラスの男の子たちが私をはやしたてた。	When I tried reading the books on the teacher's desk, the boys made fun of me.
SEEN4508	1608			『それはおとなの本だから、こどもは読んじゃいけないんだぞ』	Those books are for grown-ups, so kids aren't allowed to read them.
SEEN4508	1610			かけつけた先生も、	And even the teachers who ran to me said...
SEEN4508	1612			『みんなとおなじ本を読みましょうね』と言った。	Let's read the same books as everyone else.
SEEN4508	1614			私は泣いてしまった。	I cried.
SEEN4508	1616			読んではいけないご本があるなんて、それまで知らなかったし、教室のご本ははじめの日にみんな読んでしまったから。	I didn't know there were books I shouldn't read. I had already finished reading all the books in the classroom on the first day.
SEEN4508	1618			だから、『おなかがいたいの』と言って、学校を休もうとした。	Wanting to stay home from school, I said my stomach hurt.
SEEN4508	1620			お父さんもお母さんも、無理に行かせようとはしなかった。	My mother and father didn't force me to go.
SEEN4508	1622			私の病気はすぐに治ってしまったけど、そのかわり、胸がちくちくした。	I got over my sickness right away, but my heart hurt in its place.
SEEN4508	1624			きっと、うそをついたからだと思う。	It's because I was lying.
SEEN4508	1629			おなじ学校の子じゃなかったけれど、ひとりだけ、おともだちができた。	Even though we didn't go to the same school, I made a friend.
SEEN4508	1631			私はお家の居間にいて、ひとりでヴァイオリンのおさらいをしていた。	I was rehearsing my violin by myself in the living room.
SEEN4508	1633			もうすぐ温習会だから、お母さんに縫ってもらったドレスを着ていた。	My recital was coming up, so I was wearing the dress my mother had sewn for me.
SEEN4508	1635			黒くてすべすべした生地が、ちょっとだけお姉さんぽくて、おきにいりだった。	The black, silky cloth made me feel like a big girl, so it was one of my favorites.
SEEN4508	1638			発表曲を弾きおえたら、見たことのない男の子が庭にいて、私をじっと見てた。	After finishing my performance, a boy I had never seen before was in the yard looking at me.
SEEN4508	2235			飛行機が落ちた海はとても深くて冷たくて……	The television said that the airplane had fallen into the ocean where it was very deep and cold.
SEEN4508	2237			投げ出されたら五分と生きていられないだろう。そう言っていた。	The chances of survival were very slim if they had been thrown into the water.
SEEN4510	497			頭を振り、気持ちを奮い立たせる。	I shake my head and psyche myself up.
SEEN4510	499			今は、余計なことは考えないことにしよう。	Don't waste time thinking about things like that.
SEEN4510	501			やりとげればきっと、何かが起こるはずだ。	As long as I finish the job, something will change.
SEEN4510	503			ただ…予感はあまりにも弱々しくて。	Except... I have a hard time believing that right now.
SEEN4510	505			俺は芝の中に立ち尽くしたまま、暮れていく空を見ていた。	I stand in the grass and watch as the sun sets.
SEEN4511	1336	杏	杏	「こっちだって事情があるのよっ！　知りもしないくせにっ…	`Kyou@We have our own crap to deal with! Don't talk like you know our business! 
