scene	code_index	zh_body
SEEN0423	147	旁边的座位一如既往地空着。
SEEN0423	149	放下书包坐到座位上之后……
SEEN0423	151	接下来除了望着窗外，也没别的事可做了。
SEEN0423	214	课间休息。
SEEN0423	805	我和你昨天也见过面了。」
SEEN0423	865	我和你早就是认识的人了。」
SEEN0423	900	「不是你叫我说的吗！」
SEEN0423	1215	「不好意思，不对。」
SEEN0423	2660	「４×５是…呃…
SEEN0423	2662	２０吧～」
SEEN0423	2797	话虽如此，那可是这家伙的妹妹。肯定也不是什么省油的灯。
SEEN0423	2800	不过春原本来就有点女相，他妹妹应该也不会长得太粗犷吧。
SEEN0423	2803	但一想到春原那种性格…
SEEN0423	2807	「哥哥，是我哦，呵呵呵…
SEEN0423	2809	咕咕……
SEEN0423	2811	嘎嘎嘎……
SEEN0423	2813	\n$S065咔————！」
SEEN0423	2815	她肯定就是那种一句话说到前半和后半，整个人设都会变掉的女人。
SEEN0423	2817	不，刚才那已经不只是人设，连长相都变了。
SEEN0423	2819	而春原那家伙面对她时大概也会…
SEEN0423	2821	「哟，妹妹，好久不见…
SEEN0423	2823	咯咯…
SEEN0423	2825	嘎嘣嘎嘣咔嚓咔嚓…
SEEN0423	2827	哎呀，我把听筒给吃掉了！」
SEEN0423	2829	说不定就会变成这样。
SEEN0423	2831	太可怕了…两个妖怪的交流，正在我不知道的地方悄然进行着…。
SEEN0423	3203	「为什么？难道被封印在土仓里了吗？」
SEEN0423	3355	「啧…」
SEEN0424	729	我和你昨天也见过面了。」
SEEN0424	789	我和你早就是认识的人了。」
SEEN0424	824	「不是你叫我说的吗！」
SEEN0424	989	「嗯？是啊，猪排盖饭吧…
SEEN0424	991	还有马桶盖。」
SEEN0424	1011	「别看我这样，我也有认真考虑将来的事啊…
SEEN0424	1013	还有马桶盖。」
SEEN0424	1033	「说我是笨蛋？你刚才叫我笨蛋了吧！？
SEEN0424	1035	　还有马桶盖。」
SEEN0424	1039	「别看我现在这样，以前可是被叫作神童的！
SEEN0424	1041	　还有马桶盖。」
SEEN0424	1059	「唉…那时候我还觉得自己什么都能当呢…」
SEEN0424	1075	「飞机驾驶员、学校老师、警察…
SEEN0424	1077	还有马桶盖。」
SEEN0424	1093	「我受够这个了啊啊啊————！」
SEEN0424	1116	，春原就这样华丽地摔倒了。
SEEN0424	1337	，春原就这样华丽地摔倒了。
SEEN0424	1448	・吃
SEEN0424	1450	・那个
SEEN0424	1452	・猪
SEEN0424	1454	・排
SEEN0424	1456	・饭…
SEEN0424	1980	　咔嗞！
SEEN0424	1984	　噗咻！
SEEN0424	3121	「其中一个是…
SEEN0424	3123	坂上智代。」
SEEN0424	3234	「有。还剩一个。」
SEEN0424	3236	「也是你认识的人…
SEEN0424	3238	藤林杏。」
SEEN0424	3254	「我一说明规则，她不知道为什么就答应参加了…」
SEEN0424	3521	「不好意思，你就在这里…
SEEN0424	3523	完蛋吧。」
SEEN0424	3613	「游戏结束。」
SEEN0424	3950	哔——————！
SEEN0424	3952	…中招了。
SEEN0424	3954	…不对…
SEEN0425	1231	是智代。
SEEN0425	1444	哔——————！
SEEN0425	1446	我胸前的警报器响了起来。
SEEN0425	1544	警报器又响了。
SEEN0425	1938	「顺便说一句，智代。」
SEEN0425	1940	「你把玩具带进学校，也违反校规了。」
SEEN0425	2196	是扑克牌里的小丑牌。
SEEN0425	2611	「五秒前——
SEEN0425	2613	四——…
SEEN0425	2615	三——…」
SEEN0425	2660	「二——…
SEEN0425	2662	一——…」
SEEN0425	2907	$S048（把『让你和椋在一起大作战』改成『命令你和椋在一起』怎么样？）
SEEN0425	2911	$S048（胜者为王，败者只管闭嘴服从。）
SEEN0425	2927	$S048（反正我本来就是为了这个目的才参加游戏的。）
SEEN0425	2929	$S048（算你运气不好。）
SEEN0425	2945	$S048（也不一定，要是椋成了你女朋友，那你不是运气很好嘛。）
SEEN0425	3362	「还剩一个…」
SEEN0425	3365	「结果，昨天在宿舍袭击我的人，既不是智代也不是杏。」
SEEN0425	3369	「结果，昨天在宿舍袭击我的人不是杏。」
SEEN0425	3471	会是那个人吗…。
SEEN0425	3551	「午饭怎么办？」
SEEN0425	3562	「去食堂。」
SEEN0425	3578	「不会很危险吗？」
SEEN0425	3580	「那么挤的话，应该没法从正面瞄准我的胸口。」
SEEN0425	3597	「啊，原来如此。」
SEEN0425	3651	「哈啊…哈啊…」
SEEN0425	3657	「你去帮我买回来。」
SEEN0425	3673	「买面包就行吧？」
SEEN0425	3675	「嗯。」
SEEN0425	4888	「算是吧…」
SEEN0425	4890	「要是在这里轻易被干掉，就太对不起那些败在我手下的家伙了。」
SEEN0425	4902	「话是这么说，不过你好像一个人都没解决掉啊。」
SEEN0425	4926	「……开玩笑…的吧？」
SEEN0425	4932	「从一年前输给我的那天起……」
SEEN0425	4934	「那些家伙为了雪耻，一直拼命进行严酷的训练…」
SEEN0425	5020	大叔动了。
SEEN0425	5022	与此同时，我把书包里的东西全撒向空中，一头冲了进去。
SEEN0425	5029	…大叔的枪顶在了我的胸口。
SEEN0425	5033	对手动了。
SEEN0425	5035	与此同时，我把书包里的东西全撒向空中，一头冲了进去。
SEEN0425	5042	…对手的枪顶在了我的胸口。
SEEN0425	5058	哔——————！
SEEN0425	5060	…警报器响了。
SEEN0425	5153	说完，大叔便从那里跑开了。
SEEN0425	5157	说完，男人便从那里跑开了。
SEEN0425	5160	老师们正从校舍里朝这里跑来。
