scene	code_index	zh_body
SEEN1514	591	风子还站在那里…
SEEN1514	786	＊Ａ你说话就像爸爸
SEEN1514	789	＊Ｂ你说话就像爸爸
SEEN1514	862	小风,你爱＊Ａ?
SEEN1514	865	小风,你爱＊Ｂ?
SEEN1514	1220	请＊Ａ.
SEEN1514	1223	请＊Ｂ.
SEEN1514	1315	小风!\n$w风子!
SEEN1514	1355	*贡*
SEEN1514	1381	是因为你拥抱她的方式 有点迷恋!
SEEN1514	1384	是因为你拥抱她的方式 有点迷恋!
SEEN1514	1633	可能无法见到她。
SEEN1515	1250	我只是很高兴＊Ａ已经来了…
SEEN1515	1253	我只是很高兴＊Ｂ已经来了…
SEEN1515	1255	很高兴我能单独和你在一起…
SEEN1515	1262	当我看到你的脸,我终于… 记得…
SEEN1515	1265	当我看到你的脸,我终于… 记得…
SEEN1516	1030	星鱼 > Me > 海泥\n. . . . .
SEEN1516	1328	那个…
SEEN1516	1345	欢迎回来＊Ａ…
SEEN1516	1348	欢迎回来＊Ｂ…
SEEN1516	1657	＊Ａ…
SEEN1516	1660	＊Ｂ…
SEEN1516	1701	＊Ａ…
SEEN1516	1704	＊Ｂ…
SEEN1516	3260	欧妮,恭喜你!\n$w公子- 先生,祝贺你!
SEEN1517	53	安静…
SEEN1517	55	永远如此令人愉快…
SEEN1517	245	＊Ａ…
SEEN1517	248	＊Ｂ…
SEEN1517	499	就是这样
SEEN1518	8	早晨的阳光能到达我们无眠的眼睛
SEEN1518	163	我的眼睛在高处徘徊着,以捕捉悬挂在教学楼窗边的横幅,在风中扇动的景象……
SEEN1518	181	然后更高 充斥着天空闪耀的蓝光
SEEN1518	184	多么美丽的一天。
SEEN1518	219	仪式在平坦的教室里举行,没有任何装饰.
SEEN1518	221	这是一场谦虚的婚礼,由只有新郎,新娘,认识新娘的几位老师组成.
SEEN1518	223	但最重要的是 两人在这个地方 交换永恒的誓言公子- 老师以前教书的
SEEN1518	225	她是如此美丽。
SEEN1518	228	还有祐介 芳野也一样。 我忍不住嫉妒他的长相
SEEN1518	232	还有她的男朋友 我忍不住嫉妒他的长相
SEEN1518	588	$S046这真的太…
SEEN1518	592	$S040. . . . . . .
SEEN1518	600	在我记忆中找不到它…
SEEN1518	811	…
SEEN1518	843	这就是为什么,公子-长官…
SEEN1518	845	请…
SEEN1518	847	也足够高兴了
SEEN1518	916	她的感受的明显形式
SEEN1518	924	$S046恭喜你,小贤
SEEN1518	926	$S046请永远,永远快乐。
SEEN1518	930	$S046请永远快乐
SEEN1518	1935	星鱼.\n$w星鱼.\n$w星鱼.
SEEN2415	2	是吗?
SEEN2415	4	有东西出现在我的观点 几分钟前还没有出现过。
SEEN2415	10	即使是从这里,我可以看到骑手都是年轻人,两者都无头盔.
SEEN2415	12	其中一个挥动他的手,向另一个发出信号.
SEEN2415	14	两辆摩托车在学校场地上开始狂奔,他们的引擎大叫.
SEEN2415	16	我模糊地记得去年年底发生的类似事件。
SEEN2415	18	罪魁祸首是附近工业高中的学生。
SEEN2415	20	他们真的那么生气 我们是最好的学校在城里?
SEEN2415	36	这是什么?
SEEN2415	38	春原身体突然填满了我的视野
SEEN2415	40	你这个混蛋! 别坐在我的桌子上!
SEEN2415	56	来吧,伙计,没事的。 哇,厉害! 那些自行车是LOUD!
SEEN2415	72	其他人也开始聚集在窗户边 看看发生了什么
SEEN2415	74	没有什么比这更令人沮丧的了
SEEN2415	83	我从座位上站起来。
SEEN2415	137	我在走廊里等整个情况平静下来
SEEN2415	139	教室里的观众突然兴奋地爆发.
SEEN2415	141	不久之后,整个教室都充满了尖锐的欢呼声.
SEEN2415	143	如果我现在在那里, 我可能已经打人(可能春原完全是因为刺激
SEEN2415	149	我想知道老师们打算如何应对这种情况。
SEEN2415	151	所以我决定留在原地看看这整个磨难是如何发生的。
SEEN2415	153	突然间,另一个教室里的观众 变得令人难以置信
SEEN2415	196	这是一个女孩。
SEEN2415	198	人们现在甚至开始 呼喊着欢呼声。
SEEN2415	214	呜!
SEEN2415	216	等等,是你吗?
SEEN2415	232	也许她打算骂他们
SEEN2415	234	不会吧… 这可不是闹着玩的 你知道…
SEEN2415	250	老师在干嘛? 没有一个像露出脸一样
SEEN2415	508	说真的,我不在乎你做什么…
SEEN2415	513	这是杀死时间的绝佳方法。
SEEN2415	516	我从座位上站起来离开教室
SEEN2416	239	那个…
SEEN2416	241	做一些无耻的事
SEEN2416	981	$S065师曰.
SEEN2416	2279	*巴马*
SEEN2417	1407	*巴马*
SEEN2417	3025	等等 你不是说…
SEEN2418	209	我的计划是…
SEEN2418	211	心理战
SEEN2418	567	不过,听起来会很有趣 所以我同意了
SEEN2418	1266	笵 我猜这帮不了你…
SEEN2418	1268	第一个打赢!
SEEN2418	1385	*巴马*
SEEN2418	1438	我踢他回来智代.
SEEN2418	1524	*巴马*
SEEN2418	2059	智代.
SEEN2418	2438	等一会
SEEN2418	2484	如果我袖手旁观,那会很虚伪的春原试图把动作在她身上,
SEEN2418	2486	虽然我担心谣言会破坏我们智代加入学生会的机会。
SEEN2418	2625	等一会
SEEN2418	2671	如果我袖手旁观,那会很虚伪的春原试图把动作在她身上,
SEEN2418	2673	虽然我担心谣言会破坏我们智代加入学生会的机会。
SEEN2419	104	怎么样? 这次你有什么计划?
SEEN2421	72	你站在这里干嘛? 你知不知道你会迟到?
SEEN2421	918	之后我用面包吃完午餐 准备上下午课
SEEN2421	922	想想今天早上发生的事 我想我终于明白了
SEEN2421	924	这个女孩会完成她想完成的一切
SEEN2421	926	她有这么一个态度,我确信。
SEEN2422	783	是啊,让我们…
SEEN2422	789	不,这不是你烦我什么的…
SEEN2422	791	我该怎么说呢…
SEEN2422	793	我是说,你没有更重要的事要做吗?
SEEN2422	1280	一直以来, Frankfurter 仍然卡在他的鼻子。
SEEN2422	2013	$S065费瓦哈哈哈哈哈哈! 页:1
SEEN2422	2515	爱尔姆…
SEEN2422	2517	萨加拉·米萨
