scene	code_index	zh_body
SEEN7600	20	$S081*温*
SEEN7600	28	飞到空中
SEEN7600	112	嘿,你好吗? 你没事吧? 回答我! 说!
SEEN7600	540	$S040见鬼,我其实是要去找你…
SEEN7600	816	你是谁? 喜剧演员?
SEEN7600	2586	无证骑自行车犯法!
SEEN7601	2140	*裂缝*
SEEN7601	2162	呜呼!
SEEN7601	2166	呜呼!
SEEN7601	2966	$S040是吗? 真的吗?
SEEN7601	2968	$S040当然不是。 好吧,只是看着。
SEEN7601	3198	$S040他真的很容易操纵。
SEEN7601	3780	唉哟!
SEEN7601	3814	我深呼吸,放松肩膀。
SEEN7601	3833	嘿,我正在寻找牡丹你见过他吗?
SEEN7601	3837	声音来自我视线范围之外, 让我的身体僵硬起来。
SEEN7601	3839	…凯…杏…?
SEEN7601	3855	第六学期即将结束的时候,他被吊在学校门附近,所以他应该在这里某个地方.
SEEN7601	3857	她用迷惑的眼神在周围搜索
SEEN7601	3859	胜平隐藏于杏从我的身体来看 幸好她还没发现
SEEN7601	4242	当然,甚至杏被如何回击胜平行为。
SEEN7601	4258	嗯,作为我的感谢之辞, 让我们找到一个地方与雾和锅 -
SEEN7601	4274	垛
SEEN7601	4291	{\fn黑体\fs22\bord1\shad0\3aHBE\4aH00\fscx67\fscy66\2cHFFFFFF\3cH808080}在吹风机里,我披风胜平并搅拌他的嘴。
SEEN7601	4363	是吗?＊Ｂ这是今晚的晚餐 -
SEEN7601	4379	垛
SEEN7601	4473	$S040她是不是猪的主人?
SEEN7601	4475	$S040是的… 如果她发现你会给他做晚餐… 页:1
SEEN7601	4477	$S040哦,伙计… 想想这让我毛骨悚然…
SEEN7601	4493	$S040…所以她姐姐是个可怕的人…
SEEN7601	4495	$S040而不是吓人… 我会说… 恐怖。
SEEN7601	10784	$S081呜呜呜!
SEEN7601	10824	嘿,这是给女孩的…
SEEN7601	10832	是吗?
SEEN7601	10918	在大学奖学金推荐的阶段胜平Hiiragi,在合格者中,第一个, QQ
SEEN7601	10920	在到达目标前立即倒下
SEEN7601	11244	癌症…
SEEN7601	14381	不,我敢肯定,她没有说她的想法…
SEEN7601	14724	额?\n$w额?
SEEN7601	15028	我想过…
SEEN7601	15030	秘密行动…
SEEN7601	15743	当然\n$w当然
SEEN7601	17615	非常感谢\n$w谢谢。
SEEN7601	17676	*塔普*…
SEEN7601	18084	昨天 所有的诊断都完成了
SEEN7601	18114	*欢呼*
