scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN7600	20			$S081ズベシッ!!	$S081*Wham*
SEEN7600	28			宙を舞った…。	is sent flying into the air.
SEEN7600	112	＊Ｂ	＊Ｂ	「おい、大丈夫か？　返事しろ」	`＊Ｂ@Hey, you. You okay? Answer me!
SEEN7600	540	杏	杏	$S040「っていうか、本当はあんたを狙ったんだけどね…」	`Kyou@$S040Hell, I was actually going for you anyway...
SEEN7600	816	＊Ｂ	＊Ｂ	「てめぇは漫才師かっ！」	`＊Ｂ@What are you? A comedian?!
SEEN7600	2586	＊Ｂ	＊Ｂ	「無免許でバイク乗ってたら犯罪だろうが」	`＊Ｂ@It's a crime if you ride a bike without a license!
SEEN7601	2140	勝平	胜平	「ゴギッ！」	`Kappei@*Crack*!
SEEN7601	2162			　ゴギン！	 *Whack*! 
SEEN7601	2166			　ゴギン！	 *Whack*!
SEEN7601	2966	勝平	胜平	$S040（え？　そうなの？）	`Kappei@$S040Eh? Really?
SEEN7601	2968	＊Ｂ	＊Ｂ	$S040（ウソに決まってんだろ。まぁいいから見てろ）	`＊Ｂ@$S040Of course not. Well, just watch.
SEEN7601	3198	勝平	胜平	$S040（扱いやすい人だね）	`Kappei@$S040 He's really easy to manipulate.
SEEN7601	3780	＊Ｂ	＊Ｂ	「ッ!!」	`＊Ｂ@Ugh!!
SEEN7601	3814			大きく息を吐いて肩の力を抜く。	I take a deep breath, and relax my shoulders.
SEEN7601	3833	杏	杏	「あのさ、ボタン探してんだけどあんた知らない？」	`Kyou@Hey, I'm looking for Botan. Have you seen him?
SEEN7601	3837			視界から僅かにずれた場所からの声に身体が強張る。	The voice, coming from slightly outside my field of vision, causes my body to stiffen up.
SEEN7601	3839	＊Ｂ	＊Ｂ	「…きょ…杏…？」	`＊Ｂ@...Ky-Kyou...?
SEEN7601	3855	杏	杏	「六時間目の終わりくらいまでは校門のとこにいたから、まだこの辺りにいるはずなのよねぇ」	`Kyou@He was hanging near the school gate when the sixth period was about to end, so he should be here somewhere.
SEEN7601	3857			怪訝そうな顔で辺りをキョロキョロしている。	She's searching the surroundings with a puzzled look.
SEEN7601	3859			勝平は俺の身体で死角になって杏にはバレていない。	Kappei is hidden from Kyou's view by my body, so thankfully she hasn't found out.
SEEN7601	4242			さすがの杏も勝平に圧倒されている。	Of course, even Kyou is taken aback by how Kappei acts.
SEEN7601	4258	勝平	胜平	「えっと、お礼なんだけど、とりあえず味噌とナベがあるとこに――	`Kappei@Uh, as my token of appreciation, let's find a place with miso and a pot―
SEEN7601	4274			むぐぅっ！」	 mmph!
SEEN7601	4291			慌てて勝平を羽交い締めにして口を抑える。	In a fluster, I pinion Kappei, and muffle his mouth.
SEEN7601	4363	勝平	胜平	「え？　ちょ、＊Ｂクン、これは今夜のごは――	`Kappei@Eh? ＊Ｂ-kun, that's tonight's din― 
SEEN7601	4379			むぐぅっ！」	mmph!
SEEN7601	4473	勝平	胜平	$S040（…ひょっとして、あのウリボウの御主人様？）	`Kappei@$S040...Could it be that... she's the piglet's owner?
SEEN7601	4475	＊Ｂ	＊Ｂ	$S040（…ああ…晩飯にするつもりだったなんてバレたら…$S	`＊Ｂ@$S040...Yeah... if she finds out that you were going to make dinner out of him...$S
SEEN7601	4477			$S040駄目だ…怖くて想像もできねぇ…）	$S040Oh man... just thinking about it gives me the creeps...
SEEN7601	4493	勝平	胜平	$S040（…お姉さんは怖い人なんだ…）	`Kappei@$S040...So her sister is a scary person...
SEEN7601	4495	＊Ｂ	＊Ｂ	$S040（怖い…っていうか、恐ろしい…だな）	`＊Ｂ@$S040Instead of scary... I would say... horrifying.
SEEN7601	10784	春原	春原	$S081「うぉおおおおおおぉぉぉぉぉっ!!」	`Sunohara@$S081Uooooooohh!!
SEEN7601	10824			って、これ女性用じゃん…。	Hey, this is for girls...
SEEN7601	10832			ん？	Hm?
SEEN7601	10918			『大学の特待生推薦枠のかかった舞台を、予選一位の記録を持って挑んだ柊勝平は……』	❝On a stage where university scholarships recommendations are on the line, Kappei Hiiragi, first among those that qualified, ❞
SEEN7601	10920			『ゴール間際で転倒』	❝Fell down right before reaching the goal.❞
SEEN7601	11244			癌だ…。	cancer...
SEEN7601	14381			いや、絶対に言おうとしたことが違う…。	 no, I'm sure she didn't say what she had in mind...
SEEN7601	14724	勝平・＊Ｂ	胜平・＊Ｂ	「ええええぇぇぇーー！」\n$w「ええええぇぇぇーー！」	`Kappei & ＊Ｂ@Eeeeehhhhh??!\n$wEeeeehhhhh??!
SEEN7601	15028	椋	椋	「…こっそりと…	`Ryou@❝...I thought about... 
SEEN7601	15030			しようと思いました…」	doing it secretly...❞
SEEN7601	15743	椋・＊Ｂ	椋・＊Ｂ	「当たり前です」\n$w「当たり前だ」	`Ryou & ＊Ｂ@Of course.\n$wOf course, yeah.
SEEN7601	17615	椋・勝平	椋・胜平	「ありがとうございます」\n$w「ありがとう」	`Ryou & Kappei@Thank you very much.\n$wThanks.
SEEN7601	17676			コツ…。	*Tap* ...
SEEN7601	18084	椋	椋	「そして昨日…全ての診断を終えて――…」	`Ryou@And yesterday... all the diagnoses were completed―
SEEN7601	18114			カチャ――…。	*Clatter* ...
