scene	code_index	zh_body
SEEN5418	1282	我躺在地板上。
SEEN5418	1284	寒冷的瓷砖一开始让我吃惊,但是我的身体很快就能适应温度.
SEEN5418	1327	我醒来。
SEEN5418	1329	我睡了多长时间？ 我的眼睛转向时钟。
SEEN5418	1331	学校已经结束了
SEEN5419	152	我无法想象一本技术书 怎么能让别人笑出来
SEEN5419	155	她让我想起我在图书馆遇到的女孩
SEEN5419	157	我想当书虫 会不会让一个人变得如此不同…
SEEN5419	159	她就是那种一个人待在这种地方的人 就算她对事物有完全的外在认知 也不会让我惊讶
SEEN5419	163	她就是那种住在这种地方的人 她对事物的看法一定完全不合常规
SEEN5419	166	随着思想在我脑海中浮现,我突然感觉到一个隐形的屏障站在我们之间.
SEEN5419	168	你可以在这个学校到处找到像她这样的人
SEEN5419	172	「*吉格尔*…
SEEN5419	174	这漫画真有趣」
SEEN5421	30	成为春原他可能知道那个女学生的事
SEEN5421	1252	「不会是你！\n$w不会是你！」
SEEN5421	1286	「像地狱,我们是！\n$w像地狱,我们是！」
SEEN5423	1312	「还好 所以,我只需要做到这一点 并成为一个孤独的家伙喜欢你,对不对？」
SEEN5423	1431	有个小东西在往这边看
SEEN5423	2264	「摆＊Ｂ-你在这里做什么？\n$w＊Ａ？」
SEEN5423	2412	$S040(你现在一定意识到她了,因为我告诉你,对不对？ )
SEEN5423	2414	「没有… 我该怎么说呢… 就像我刚刚接触了神秘的东西…」
SEEN5423	2430	「啊哈哈 说来有趣」
SEEN5423	2450	我想咒语不是轻描淡写的东西…
SEEN5423	2453	我有点小,但有点惊恐
SEEN5423	2455	「是你吗？＊Ｂ- ―― ―― ？ 你在这里做什么？\n$w＊Ａ？」
SEEN5423	2457	有人刚刚跟我说话…
SEEN5424	1322	「为什么是你？\n$w为什么是你？」
SEEN5424	1338	「这…\n$w额…」
SEEN5424	1340	之后，我们毫无意义地在漆黑的体育器材仓库里待了两个小时…。
SEEN5424	1345	我弯腰面对桌子。
SEEN5424	1347	然后我在另一块硬币上 做了个乱七八糟的硬币
SEEN5424	1355	现在是时候慢慢移开我的手了
SEEN5424	1732	这… 她的下半身在压着我的身体
SEEN5424	1736	古河还在试图移动她的身体。 我能感觉到她在我鼻子上的粗糙呼吸
SEEN5424	1942	「好吧,我说…」
SEEN5424	1944	「现在,把裤子拉下来…」
SEEN5424	1954	让女孩子把裤子脱掉这种事…\n
SEEN5424	1956	不可思议的刺激…
SEEN5424	2064	对…古河…
SEEN5424	2099	*卡齐*
SEEN5424	2199	(现在我想到它, 只是为什么在地球上会古河'父亲出现在这样的地方？）
SEEN5424	2201	(这不可能… )
SEEN5424	2203	*滚滚滚*
SEEN5424	2205	突然间 地面上滚动的东西的声音 传到我的耳朵里
SEEN5424	2222	「把手举起来！」
SEEN5424	2228	我不认识的人用枪指着我
SEEN5424	2230	这太意外了 我的脚被粘在地板上…
SEEN5424	2232	(那把枪… 别告诉我这是真的… ？）
SEEN5424	2234	我是不是应该把手放在这个场景里？
SEEN5424	2250	「怎么样？」
SEEN5424	2252	他把太阳镜和闪光光照着我的脸
SEEN5424	2255	「只是个孩子…」
SEEN5424	2293	「这…
SEEN5424	2295	这该死的东西被锁住了…」
SEEN5424	2311	「想到我会爱上这个愚蠢的陷阱…」
SEEN5424	3452	「没关系的…
SEEN5424	3454	只要你能摆脱这种可怕的局面…」
SEEN5424	3590	「没有,嗯…
SEEN5424	3592	我又不会…」
SEEN5424	3594	「不过… 我想先听你说…」
SEEN5424	3653	「我该怎么说…」
SEEN5424	3655	「这是…
SEEN5424	3657	真遗憾…」
SEEN5424	3659	「不,不是这样…」
SEEN5424	5241	妈的！ 如果这些进展继续如此加速… 说真的,狗屎！
SEEN5424	5245	首先,这种情况对她来说是不公平的;这更像是K60悬浮桥效应K0.
SEEN5424	5248	如果我记得正确的话,去除诅咒的方法是…
SEEN5425	121	父亲」
SEEN5425	129	我爱你」
SEEN5425	1228	「参比室似乎是完美的地点 从来没有人来过那里,窗口连接 右与后花园」
SEEN5425	1230	「没有人会注意到,如果你溜进去」
SEEN5426	1931	「我们看起来像这样吗？\n$w我们看起来像这样吗？」
SEEN5426	2537	$S050「我是谁$S048只有一个$S044谁认为$S040那个$S034我们是$S032朋友们…$S034你能听到我吗？ 你能听到我在说什么吗？」
SEEN5426	2541	我听不到你说的
SEEN5426	2579	春原不见了
