scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN0555	120			ぱんぱんぱん！と銃弾が貫いた！	*bang bang bang*! Bullets blast through her body!
SEEN0555	128			「危なかったな、そいつはゾンビだぜ」\n銃を持った男が現れた。\n「俺の名はスティーブ」	❝That was close. That girl's a zombie, y'know.❞\nA man with a gun appears.\n❝The name's Steve.❞
SEEN0555	130			「この学園はゾンビの巣窟だ。一緒に脱出しよう」	The school's turned into a zombie nest. Let's blow this joint.
SEEN0555	142			なんか強いのが出てきてあなたは殺された！\nＧＡＭＥＯＶＥＲ	A strong zombie popped up and killed you!\nGAMEOVER
SEEN0555	150			スティーブが仲間になった！	STEVE HAS JOINED YOUR PARTY!
SEEN0555	157			ふたりで廊下を進む。	The two of you walk down the hallway.
SEEN0555	159			パリーーンッ！窓を割って、犬が現れた！	*Smash* The window suddenly shatters, and a dog appears!
SEEN0555	169			かぷっ。\n「ギャーーーッ！」\nスティーブは力つきた…。	Munch!\n❝Arrgggghhh!❞\nSteve has run out of energy...
SEEN0555	171			そのあと、なんか強いのが出てきてあなたも殺された\nＧＡＭＥＯＶＥＲ	Right after that, a strong zombie showed up and killed you!\nGAMEOVER
SEEN0555	180			「はは、よせよ！」きゃんきゃん！	❝Haha, stop it!❞ Yelp yelp!
SEEN0555	182			ひとしきり戯れた後、別れた。	You part ways with the dog after playing with it for a little bit.
SEEN0555	184			部屋に入ると、大蛇が襲いかかってきた！	You enter a room, and a huge snake suddenly attacks you!
SEEN0555	186			がぶっ。\n「いたいよ」\nスティーブが毒で瀕死状態に！	Munch!\n❝Ow.❞\nSteve's on the verge of dying from its venom!
SEEN0555	188			あなたは血清剤を探しに出た。	You leave the room to look for antivenom.
SEEN0555	190			目の前に大きな棚がある。	Before you is a big shelf.
SEEN0555	201			三叉路に出た。	You have reached a three-way fork.
SEEN0555	213			なんかもっさーとしたのが出てきて、それにやられた\nＧＡＭＥＯＶＥＲ	Some mossy thing popped up, and it killed you.\nGAMEOVER
SEEN0555	221			ヘリポートに出た。	You have reached the heliport.
SEEN0555	224			バリバリバリバリ…あなたはヘリに救出された。\n「グッバイ、ジェニファー」\nＴＨＥ　ＥＮＤ	*Chakk chakk chakk* ...You are rescued by a helicopter.\n❝Good bye, Jennifer.❞\nTHE END
SEEN0555	233			なんか強いのが出てきて、反撃とか当たって惜しかったんだけどやられた\nＧＡＭＥＯＶＥＲ	Something strong popped up, countered your attempt to open a can of whoop-ass on it and you died. Too bad.\nGAMEOVER
SEEN0555	242			ゾンビが中に隠れていた！	A zombie is hiding inside!
SEEN0555	245			\n「これをどうぞ」血清剤をくれた。	\n❝Here, take this.❞\nYou receive a vial of antivenom.
SEEN0555	250			あなたはそれを受け取って、スティーブの元に戻った。	You take it, and return to Steve.
