scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN3511	1597			そうとしか…言えなかった…。	I could say nothing... except that...
SEEN3511	1615			椋はニコリと笑う。	Ryou smiles.
SEEN3511	1631	椋	椋	「キス…やっぱり甘かったですね」	`Ryou@So the kiss... actually tasted sweet.
SEEN3511	1634			ただ無邪気な…幸せそうな顔を俺に向けながら。	She simply looks at me, happily and innocently.
SEEN3511	1652			結局…創立者祭の出し物はほとんど回らなかった。	In the end... we hardly visited any of the exhibits at the festival.
SEEN3511	1654			ただ、ずっと二人で一緒にいた。	All we did was stay together the entire time.
SEEN3511	1656			肩を抱いたり、身体を預けられたり、キスをしたり…。	We just hugged each other, leaned against each other, and kissed each other...
SEEN3511	1658			帰りの別れ際のキスは、もう今日何度目のキスなのかわからなかった。	We kissed one last time when we left each other, and by then, I had already forgotten how many times we had kissed today.
SEEN3511	1660			せめてもの救いは、あれ以来、杏と会わなかったこと…だろうか…。	What came as a relief, I suppose, is that Kyou has not showed up since.
SEEN3512	30			まるで溶けて腐った鉄が血管の中を巡っているような…。	It feels as if rusty molten metal is flowing through my veins...
SEEN3512	32			熱く…冷たい固まりが断続的に――でも休みなく身体中の神経を殴りつけてくるような…。	Like waves of heat and coldness are attacking the nerves throughout my body, intermittent yet tireless.
SEEN3512	34			嫌悪の対象は自分自身…。	The target of my hatred is myself...
SEEN3512	38			杏の顔が目蓋の裏に焼き付いて離れない。	...Has been burned into the back of my eyelids.
SEEN3512	41			目を閉じるだけで…瞬きをするだけで、脳裏に甦ってくる…。	Every time I close my eyes for even an instant, the image flashes in my mind...
SEEN3512	61			――＊Ｂ…。	―＊Ｂ...
SEEN3512	80			見られた…。	She saw us...
SEEN3512	82			藤林…椋とのキスを…。	She saw Fujibayashi... Ryou and I kiss...
SEEN3512	84			付き合っているんだから、そういうことがあったって別におかしくない…。	Since the two of us are going out, it really is no big deal for us to do that...
SEEN3512	86			やましいことをしていたわけでもない。	And it's not like we've done anything particularly disgraceful.
SEEN3512	88			むしろ…ああいうことは普通なんだ…。	Rather... that's pretty normal...
SEEN3512	91			ただ…それを見られただけ…。	We were just seen by somebody else doing it...
SEEN3512	111			――＊Ｂ…ﾝ…。	―＊Ｂ... mm...
SEEN3512	130			見られただけなんだ…。	Somebody saw us. That's all...
SEEN3512	132			なのに…。	And yet...
SEEN3512	134			杏の顔が…あの表情が胸に突き刺さる…。	Kyou's face... her expression keeps piercing through my heart...
SEEN3512	136			…小さかった穴を徐々に広げられるような…。	...Like it is digging what was once a tiny hole deeper and deeper...
SEEN3512	162	＊Ｂ	＊Ｂ	「…え？」	`＊Ｂ@...Eh?
SEEN3512	182	椋	椋	「どうしたんですかボーっとして…？」	`Ryou@What's the matter? You were spacing out.
SEEN3512	184	＊Ｂ	＊Ｂ	「あ…わ、わりぃ…」	`＊Ｂ@O-Oh... Sorry...
SEEN3512	200	椋	椋	「ひょっとしてどこか体調でも悪いんですか…？」	`Ryou@Could it be that you're not feeling well...?
SEEN3512	202	＊Ｂ	＊Ｂ	「いや、そんなことはないよ」	`＊Ｂ@Nah, I'm feeling fine.
SEEN3512	204	＊Ｂ	＊Ｂ	「んで…藤林、どこに…」	`＊Ｂ@So... Fujibayashi, where were we...
SEEN3512	222	＊Ｂ	＊Ｂ	「あ…っと…椋、どこに向かってるんだ？」	`＊Ｂ@Err... Ryou, where are we going to?
SEEN3512	238	椋	椋	「はい。この先においしいラーメン屋さんがあるんです」	`Ryou@Yes, there's a really good ramen place just ahead.
SEEN3512	240	＊Ｂ	＊Ｂ	「…ラーメン？　また随分色気のないとこに行くんだな？」	`＊Ｂ@...Ramen? That doesn't sound very attractive.
SEEN3512	256	椋	椋	「気兼ねない感じでいいと思ったんですけど…別のお店の方がいいですか？」	`Ryou@I thought a quiet place would be better. Would you like to go to some place else?
SEEN3512	272	椋	椋	「あ、ひょっとしてラーメンが嫌いだったとか…」	`Ryou@Oh, could it be that you don't like ramen...?
SEEN3512	274	＊Ｂ	＊Ｂ	「いや、ラーメンでいいぞ。むしろラーメンは好きだしな」	`＊Ｂ@Nah, ramen sounds good. Rather, that's great since I love ramen.
SEEN3512	290	椋	椋	「よかったです。味は絶対保証付きですから」	`Ryou@That sounds good. I guarantee their ramen is tasty.
SEEN3512	294			椋――の、笑顔…。	Ryou's... smile...
SEEN3512	310			一昨日、約束したとおり俺達はデートをしている。	Just as we promised the day before yesterday, we are on a date together.
SEEN3512	312			どこに行こうと決めたわけじゃない。	Though it's not like we actually picked a place to go.
SEEN3512	314			ただ一緒にいるだけ…。	We are simply hanging out...
SEEN3512	316			二人で並んで、たあいない話で時間を埋めているだけ…。	...spending time together and talking about random things.
SEEN3512	318			でも、彼女はそれが嬉しいと言った。	But even so, she says she is happy.
SEEN3512	320	＊Ｂ	＊Ｂ	「…ちなみになにラーメン？」	`＊Ｂ@...By the way, what kind of ramen?
SEEN3512	337	椋	椋	「塩トンコツです」	`Ryou@Pork broth.
SEEN3512	356	ラーメン屋の店員	拉面馆的店员	「毎度あり～」	`Ramen Store's Employee@Thanks!
SEEN3512	374	＊Ｂ	＊Ｂ	「ふぅ、結構量あったな」	`＊Ｂ@Phew... that's quite a lot.
SEEN3512	390	椋	椋	「そうですね。お腹いっぱいです」	`Ryou@You are right. I am really full now.
SEEN3512	392	＊Ｂ	＊Ｂ	「あの店、よく行くのか？」	`＊Ｂ@Do you go there often?
SEEN3512	408	椋	椋	「よくってほどではありませんけど、たまにお姉ちゃんと行ってました」	`Ryou@I can't really say I go that often, but I go there with Onee-chan sometimes.
SEEN3512	410	＊Ｂ	＊Ｂ	「…杏と？」	`＊Ｂ@...You go with Kyou?
SEEN3512	1036	椋	椋	「…あの…	`Ryou@...Um...
SEEN3512	1038			＊Ｂ…くん…	＊Ｂ... -kun...
SEEN3512	1040			私のこと、	 Do you... 
SEEN3512	1042			好きですか…？」	 like me?
SEEN3513	502			ﾊﾟｷ…。	*Krak*
SEEN3513	504			小枝を踏み折ったような小さな音。	I then hear the sounds of someone walking on the grass.
SEEN3513	2411	＊Ｂ	＊Ｂ	「――っ…」	`＊Ｂ@...
SEEN3513	2695			椋は何も言わずにこちらに歩いてくる。	Without saying a thing, Ryou starts walking toward me.
SEEN3513	2697			やめてくれ…。	Stop...
SEEN3513	2699			近づかないでくれ…。	Don't get any closer...
SEEN3513	2701			今の俺は…何も言えない…。	Right now... I can't say a thing...
SEEN3513	2703			きっと…言葉を出せば…、傷つける事しかできない…。	I bet if I say anything... it'll just hurt you...
SEEN3513	2719			ギュッ…。	*Hug*
SEEN3513	2721			抱きしめられた…。	She hugs me...
SEEN3513	2723			濡れた制服が肌に押しつけられて悪寒が走る。	With the wet clothes pressed against my body, I feel shivers running through my body.
SEEN3513	2725			でも、すぐに温もりが伝わってくる…。	However, not long after that, I start feeling the warmth of her body...
SEEN3513	2727			椋の温もりが…俺の冷えた身体を包む…。	Ryou's warmth... is enveloping my cold body...
SEEN3513	2949			本当に最低だ…。	seriously horrible...
SEEN3513	2994			突き放す。	push Ryou away.
SEEN3513	3084	＊Ｂ	＊Ｂ	「…っ～…」	`＊Ｂ@...
SEEN3514	74			$S040ぺっぺーっぺっ　ぺっぺっーぺっ…。	$S040*Vroom* *Vroom* ...
SEEN3514	949			うまい」	it's good.
SEEN3514	2893	女生徒１	女生１	$S040「…今のって…どうとったらいいんだろうね…」	`Female Student 1@$S040...How should we take what she said just now...?
SEEN3514	2895	女生徒２	女生２	$S040「…カードの意味だけで言ったらスッゴク幸先悪そうなんだけど…」	`Female Student 2@$S040...If we go by just the meaning of the cards, it sounds like a bad omen...
SEEN3514	2897	女生徒３	女生３	$S040「…悪いってことは良いってことじゃないの？」	`Female Student 3@$S040...Since it sounds bad, the results aren't good, right?
SEEN3514	2899	女生徒１	女生１	$S040「…でも藤林さん最後にうまくいきますって言ったよ？」	`Female Student 1@$S040...But Fujibayashi-san said in the end that it'll go well.
SEEN3514	5109			そう思っていた」	I thought too.
SEEN3514	6940			$S081ドン	$S081*Bam*
SEEN3514	6944			　ドン	 *Bam*!
SEEN3514	6948			　ドン!!	 *Bam*!!
SEEN3514	6971			$S081ドン	$S081*Bam*
SEEN3514	6975			　ドン	 *Bam*!
SEEN3514	6979			　ドン!!	 *Bam*!!
SEEN3514	7117	春原	春原	「いやあぁぁ！　助け…	`Sunohara@No! Hel―
SEEN3514	7611			ここで気持ちを揺るがせては昨日と同じ事をくり返す。	If I let my emotions get the better of me here, it'll end up just like yesterday.
SEEN3514	7629			はっきりと言うんだ。	I have to be clear to her.
SEEN3514	7631			俺が好きなのは誰なのか。	About who it is that I like.
SEEN3514	7634			そしてこれ以上、椋の側にはいられないということを…。	And that I can no longer be with her...
SEEN3514	7653			ゆっくりと日が傾き、影が長くなっていく。	Gradually, the sun hangs lower and lower, stretching out the shadows on the ground.
SEEN3514	7655			リノリウムの廊下も夕陽を浴びて赤く染まる。	The linoleum flooring of the hallway is also dyed crimson by the sunset.
SEEN3514	7657			どうして激しい色のはずの『赤』は、時としてこんなにも哀しい色に変わるんだろう…。	I wonder why red, a color that's supposed to be lively and intense, becomes so melancholic on occasions like this...?
SEEN3514	7659			歩き疲れて震える膝を手で押さえながら、壁に背中をつける。	I rub my knees, which are trembling from exhaustion, while I lean against the wall.
SEEN3514	7661			まだ…彼女を見つけることが出来ない…。	I still... haven't found her...
SEEN3514	7663			本当に学校にいるんだろうか…？	Is she really still here at school...?
SEEN3514	7667			一緒に疲れも出ていけとばかりに大きく…大きく息を吐く…。	It's a big, deep sigh... a sigh reflecting my exhaustion.
SEEN3514	7674			窓の外に目をやった瞬間、血液の流れが止まるような錯覚を覚えた。	The moment I look outside the window, it feels as if my blood has frozen.
