scene	code_index	zh_body
SEEN6802_1	3474	她用她所有的力量把我的手刷掉
SEEN6802_1	3490	我又把我的手踩在她的头上了
SEEN6802_1	3506	*炸弹*
SEEN6802_1	3508	又复刷净.
SEEN6802_1	3521	*倾斜*
SEEN6802_1	3537	*炸弹*
SEEN6802_1	3553	*倾斜*
SEEN6802_1	3569	*炸弹*
SEEN6802_1	3585	*倾斜*
SEEN6802_1	3601	*巴姆* .
SEEN6802_1	4234	$S046恭喜你离开医院结婚!\n$w恭喜你离开医院结婚!
SEEN6802_1	4320	这里真是个好小镇
SEEN6802_1	4400	之后,一旦我们访问渚父母在休息日打招呼 我们花时间在公园里玩
SEEN6802_1	4404	休息的时候,我们去公园玩渚他们的父母。
SEEN6802_1	4407	是乌shi最爱的地方之一.
SEEN6802_1	4409	一点都不奇怪 因为就在她家门口 她住那么久了
SEEN6802_1	4411	她的记忆中一定有很强的空间 作为她玩耍的地方早苗-先生和那个老人
SEEN6802_1	4413	我四处看看很多有孩子的父母, 就像我一样.
SEEN6802_1	4415	但大多数是母亲。
SEEN6802_1	4417	我一遍又一遍地问候他们 就像我从幼儿园去接乌石一样
SEEN6802_1	4419	当然,我与家庭主妇们谈的不多,所以我无法成为他们八卦圈子的一部分.
SEEN6802_1	4421	轮回打招呼后,我把吴雄放在秋千上,从后面推她.
SEEN6802_1	4423	宇雄的眼睛从我身边移开,开始看着一群孩子一起玩耍.
SEEN6802_1	8781	命运?
SEEN6802_1	9973	它看起来好像一切都埋在雪里了
SEEN6802_1	10429	我试图做… ?
SEEN6802_1	10487	对
SEEN6802_1	10507	我无法阻止他们
SEEN6803	57	她会怎么想? 她偶尔会低头看地,叹气.
SEEN6803	82	她开始走路
SEEN6803	88	不过…
SEEN6803	96	不过…
SEEN6803	98	и…
SEEN6803	142	她看着我的脸。
SEEN6803	297	光线非常明亮…
SEEN6803	299	单单…
SEEN6803	301	别走…
SEEN6803	303	…渚!
SEEN6803	305	更亮的灯光…
SEEN6803	308	交给我了
SEEN6803	310	好像它想包围我一样
SEEN6803	312	其温.
SEEN6803	314	我听到一个声音, 然后我感觉好像她拉 她的手离我远点。
SEEN6803	317	现在,灯光…
SEEN6803	319	覆盖了我全身
SEEN6803	696	后为小chan唱此曲.
SEEN6810	28	从力量调整到方向都是手工的
SEEN6810	31	但是既然我们在一个这么小的房间里… …无论你在哪里… …你都能达到它所有的东西,那不成问题
SEEN6810	342	我吗?
SEEN6810	1422	我回头看渚.
SEEN6810	1424	她全心全意地专注于她的功课.
SEEN6810	1435	这感觉明天不会消失的
SEEN6810	1437	我们可以在另一天分享这种幸福 当她没有家庭作业时
SEEN6810	1439	总之 我喜欢看渚辛勤工作 工作起来
