scene	code_index	zh_body
SEEN1503	187	「哟，来啦。」
SEEN1503	189	春原一边向我们招呼，一边走了过来。
SEEN1503	205	「怎么样，办得不错吧？哎呀，顺手偷把钥匙什么的，简直小菜一碟…」
SEEN1503	240	「疼死了，你干什么啊！」
SEEN1503	257	「＊Ａ，突然打春原太可怜了。」
SEEN1503	260	「＊Ｂ，突然打春原太可怜了。」
SEEN1503	262	「这是打招呼。」
SEEN1503	278	「哪有这种打招呼方式啊！」
SEEN1503	280	「行了，赶紧带我们去教室。」
SEEN1503	297	「你果然是恶鬼啊…」
SEEN1503	332	我们跟着春原，来到一年级教室所在的二楼。
SEEN1503	348	「就是这里。」
SEEN1503	350	他哗啦一声打开了门。
SEEN1503	366	原来春原事先连教室钥匙都准备好了。
SEEN1503	368	「你要是在ＲＰＧ里，绝对是盗贼职业。」
SEEN1503	370	我一边说，一边拍了拍他的肩膀。
SEEN1503	387	「别用同情我的语气说啊！」
SEEN1503	438	「那个…＊Ａ，你讨厌我吗？」
SEEN1503	441	「那个…＊Ｂ，你讨厌我吗？」
SEEN1503	573	点头。
SEEN1503	712	「是这样吧，＊Ａ？」
SEEN1503	715	「是这样吧，＊Ｂ？」
SEEN1503	805	「没错。就像＊Ａ说的。」
SEEN1503	808	「没错。就像＊Ｂ说的。」
SEEN1503	1161	「＊Ａ，制服会弄脏的。」
SEEN1503	1164	「＊Ｂ，制服会弄脏的。」
SEEN1503	1318	「不，不是那样。＊Ａ才更…」
SEEN1503	1321	「不，不是那样。＊Ｂ才更…」
SEEN1503	1826	「＊Ａ，请安静一点。」
SEEN1503	1829	「＊Ｂ，请安静一点。」
SEEN1503	2453	「就算这样，让我来做也不太合适吧。」
SEEN1503	2456	「不是还有＊Ａ和春原吗？」
SEEN1503	2459	「不是还有＊Ｂ和春原吗？」
SEEN1503	2550	「＊Ａ，你讨厌我吗？」
SEEN1503	2553	「＊Ｂ，你讨厌我吗？」
SEEN1503	2634	「我觉得＊Ａ来做比较好。」
SEEN1503	2637	「我觉得＊Ｂ来做比较好。」
SEEN1503	2640	「＊Ａ说话很凶，我觉得特别适合演老师。」
SEEN1503	2643	「＊Ｂ说话很凶，我觉得特别适合演老师。」
SEEN1503	2862	「那么，＊Ａ，要开始了…」
SEEN1503	2865	「那么，＊Ｂ，要开始了…」
SEEN1503	2933	「对。＊Ａ是老师。」
SEEN1503	2936	「对。＊Ｂ是老师。」
SEEN1503	3102	「你这么说，＊Ａ肯定也会换的！」
SEEN1503	3105	「你这么说，＊Ｂ肯定也会换的！」
SEEN1503	3389	我是剪刀。％Ａ是剪刀。春原也是剪刀。
SEEN1503	3393	「差不多该有个人换一下了吧！」
SEEN1503	3409	「你嘴上这么说，自己也会换吧？我才不上当。」
SEEN1503	3425	这样下去根本没完…。
SEEN1503	3443	「平手再来…」
SEEN1503	3477	我是布。％Ａ是剪刀。春原也是剪刀。
SEEN1503	3497	「大家请坐到座位上哦——」
SEEN1503	3499	入口突然传来一个新的声音。
SEEN1503	3501	我们吃惊地回过头去，那里站着…
SEEN1503	3519	「要开始上课了哦——」
SEEN1503	3521	…早苗。
SEEN1503	3553	「现在不是妈妈，是老师。」
SEEN1503	3569	「吓了我一跳…不过妈妈愿意来当老师，真的帮大忙了。」
SEEN1503	3585	「女儿有危机的时候，我无论何时都会赶来！」
SEEN1503	3610	「有危机的是我啊。」
SEEN1503	3689	「她是％Ａ的妈妈，早苗。」
SEEN1503	4143	「我是古河渚。」
SEEN1503	4146	「那个，＊Ａ和春原虽然一直在开玩笑…但我想认真上课！」
SEEN1503	4149	「那个，＊Ｂ和春原虽然一直在开玩笑…但我想认真上课！」
SEEN1503	4422	「不，不是那样。＊Ａ才更…」
SEEN1503	4425	「不，不是那样。＊Ｂ才更…」
SEEN1505	318	「早苗，你是世界上最可爱的女人…」
SEEN1505	320	「可是…
SEEN1505	322	你烤的面包却是世界上最难吃的啊啊啊————！」
SEEN1505	338	「…他是这么说的。」
SEEN1505	704	\n…敬请期待!!
SEEN1506	333	「＊Ａ，可以让我抱她一会儿吗？」
SEEN1506	336	「＊Ｂ，可以让我抱她一会儿吗？」
SEEN1506	513	　啪！
SEEN1506	595	　啪！
SEEN1506	658	「＊Ａ…」
SEEN1506	661	「＊Ｂ…」
SEEN1506	1332	「明白了。伊吹老师那边就拜托＊Ａ了。」
SEEN1506	1335	「明白了。伊吹老师那边就拜托＊Ｂ了。」
SEEN1507	466	「$S065祐介————!?$S」
SEEN1507	871	就在他消失在视野中的同时…
SEEN1507	873	咔嚓。
SEEN1507	875	玄关门打开，公子现身了。
SEEN1508	60	「早上好，＊Ａ。」
SEEN1508	63	「早上好，＊Ｂ。」
SEEN1508	82	「那个，＊Ａ。」
SEEN1508	85	「那个，＊Ｂ。」
SEEN1511	66	「早上好，＊Ａ。」
SEEN1511	69	「早上好，＊Ｂ。」
SEEN1511	136	「嗯，＊Ａ，拜托你了。」
SEEN1511	139	「嗯，＊Ｂ，拜托你了。」
SEEN1511	696	「$S065咦咦咦————!?　你爸爸——!?$S」
SEEN1511	758	不过嘛…我也不否认。
SEEN1511	800	我如此祈愿着。
SEEN1511	950	「好！」
SEEN1511	982	「小风看起来睡得很舒服。」
SEEN1511	985	「她好像很喜欢＊Ａ的背。」
SEEN1511	988	「她好像很喜欢＊Ｂ的背。」
SEEN1511	1025	「＊Ａ，小风没有那么讨厌你。」
SEEN1511	1028	「＊Ｂ，小风没有那么讨厌你。」
SEEN1511	1047	「没关系。小风和＊Ａ在一起时，一定也觉得非常开心。」
SEEN1511	1050	「没关系。小风和＊Ｂ在一起时，一定也觉得非常开心。」
SEEN1511	1918	「＊Ａ，好羡慕你。」
SEEN1511	1921	「＊Ｂ，好羡慕你。」
SEEN1511	2004	我如此祈愿着。
SEEN1511	2107	「＊Ａ…」
SEEN1511	2110	「＊Ｂ…」
SEEN1511	3039	「你不是知道我要去见谁吗！」
SEEN1511	3530	「拜托你们…
SEEN1511	3533	直到她梦的最后…」
SEEN1511	3656	没有哭出来。
SEEN1511	4097	「一定会有很多在校生来祝福她。」
SEEN1511	4509	「＊Ａ也累了吧。渚就交给我，今天先回去怎么样？」
SEEN1511	4553	「光是风子的事，＊Ａ就已经够辛苦了吧。」
SEEN1511	4556	「光是风子的事，＊Ｂ就已经够辛苦了吧。」
SEEN1511	4653	「从明天开始，＊Ａ也要住下来吗？」
SEEN1511	4656	「从明天开始，＊Ｂ也要住下来吗？」
SEEN1513	90	「＊Ａ，早上好。」
SEEN1513	93	「＊Ｂ，早上好。」
SEEN1514	418	「等等…『有点最糟』到底是什么鬼。」
