scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN1417	719	＊Ｂ	＊Ｂ	「そんな怪我じゃ、いいものだってできないだろ」	`＊Ｂ@You can't make anything good with that injury, right?
SEEN1417	722	＊Ｂ	＊Ｂ	「なんのために、頑張ってんだか知らないけどさ、いいものになったほうがいいんだろ？」	`＊Ｂ@I don't know why you're pushing yourself so hard, but it'd be better if the final product is in perfect condition, right?
SEEN1417	819			そこにいた。	And there she is.
SEEN1417	858			そこにいた。	And there she is.
SEEN1418	123	女生徒	女生	「ナイフを…	`Female Student@Searching for...
SEEN1418	125			探してっ…」	the knife...
SEEN1418	392	＊Ｂ	＊Ｂ	「手は」	`＊Ｂ@How about your hand?
SEEN1418	634			ドア越しに覗き込む。	I peek inside through the glass panel on the door.
SEEN1421	600			――そして、それが７００個、揃うまでです。	―After that, another seven-hundred of the same perfect piece. 
SEEN1421	604			全校生徒分ってことか…？	One for every student in this school...?
SEEN1421	606			俺は振り返る。	I turn back to look in her direction...
SEEN1421	608			もう、ぱたぱたと走る、小さな背中となっていた。	...But the girl has already left, leaving behind only pattering footsteps and the silhouette of her small back.
SEEN1422	349			そんなことを考えながら、歩いていると…	As I keep on walking with my head occupied by such thoughts...
SEEN1422	387			　芸術か？	Or art? 
SEEN1422	389			　神の啓示か？	Did God instruct her to do it?
SEEN1422	391	＊Ｂ	＊Ｂ	（ったく、わからん奴だな…）	`＊Ｂ@(Geez, I don't understand her at all...)
SEEN1422	410			そうだな…どっかに置いておこう。	I guess I'll just leave it somewhere.
SEEN1422	412			こんなもの、鞄にも入らないし、かさばって、仕方がないじゃないか…。	I can't put it in my bag like this. It's just too bulky...
SEEN1422	417			持って帰る…	How do I 
SEEN1422	419			どうやって。	take it back home?
SEEN1422	421			俺のぺっちゃんこの鞄には入りそうもない。	My flat bag can't possibly hold this.
SEEN1422	423			仕方がない。なんか別の袋にでも入れていくか…。	Guess I have to find a different bag to put it in...
SEEN1423	395	＊Ｂ・春原	＊Ｂ	「ああ、なに？」\n$w「うん、なに？」	`＊Ｂ & Sunohara@So, what is it?\n$wOkay, what is it?
SEEN1423	825	＊Ｂ	＊Ｂ	「しかし、他にあるとすると…」	`＊Ｂ@But other than that...
SEEN1423	827	＊Ｂ	＊Ｂ	「うーん…なんだろ…」	`＊Ｂ@Um... just what could it be...
SEEN1423	1499			そう思った。	like it'd be really nice if a lot of people went...
SEEN1423	1541			そこへチャイムが鳴る。	The school bell brings me back from my thoughts.
SEEN1423	1544			俺は急いで、教室に戻った。	I rush toward the classroom.
SEEN1426	255	％Ａ	％Ａ	「＊Ａさん」	`％Ａ@＊Ａ-san.
SEEN1426	258	％Ａ	％Ａ	「＊Ｂくん」	`％Ａ@＊Ｂ-kun.
SEEN1426	524	％Ａ	％Ａ	「＊Ａさん、いじめたらダメです」	`％Ａ@＊Ａ-san, please don't bully her.
SEEN1426	527	％Ａ	％Ａ	「＊Ｂくん、いじめたらダメです」	`％Ａ@＊Ｂ-kun, please don't bully her.
SEEN1426	568	％Ａ	％Ａ	「＊Ａさん…」	`％Ａ@＊Ａ-san...
SEEN1426	571	％Ａ	％Ａ	「＊Ｂくん…」	`％Ａ@＊Ｂ-kun...
SEEN1426	822	％Ａ	％Ａ	「＊Ａさん、パンをお願いします」	`％Ａ@＊Ａ-san, please help me carry the bread.
SEEN1426	825	％Ａ	％Ａ	「＊Ｂくん、パンをお願いします」	`％Ａ@＊Ｂ-kun, please help me carry the bread.
SEEN1426	985	％Ａ	％Ａ	「紅茶とケーキを出してくれて…	`％Ａ@She brought me tea and cakes...
SEEN1426	987			お話をたくさんして…」	and we talked and talked...
SEEN1426	989	％Ａ	％Ａ	「とても楽しい時間を過ごさせてもらいました」	`％Ａ@She let me relax and hang out with her.
SEEN1426	1531			俺なんて必要なかったのかもしれない。	maybe ％Ａ wouldn't need me at all.
SEEN1426	2353	％Ａ	％Ａ	「あれ？	`％Ａ@Huh?
SEEN1426	2355			　婚約…してないんでしょうか…」	Are you not... engaged...?
SEEN1426	2374	％Ａ	％Ａ	「＊Ａさん…」	`％Ａ@＊Ａ-san...
SEEN1426	2377	％Ａ	％Ａ	「＊Ｂくん…」	`％Ａ@＊Ｂ-kun...
SEEN1426	2592	％Ａ	％Ａ	「いえ、何もっ…」	`％Ａ@No, not really...
SEEN1426	2609	％Ａ	％Ａ	「あの、＊Ａさんっ」	`％Ａ@＊Ａ-san.
SEEN1426	2612	％Ａ	％Ａ	「あの、＊Ｂくんっ」	`％Ａ@＊Ｂ-kun.
SEEN1426	2785			胸に手を当て、深く息をつく。	She puts her hands on her chest and takes in a deep breath.
SEEN1426	2787	＊Ｂ	＊Ｂ	「あのさ…俺もよくわかんねぇけど…」	`＊Ｂ@To be frank, I don't understand exactly what's happening...
SEEN1426	2789	＊Ｂ	＊Ｂ	「あいつが不自然な存在だってことはなんとなくわかったよ…」	`＊Ｂ@But I do know now that her existence is not something natural...
SEEN1426	2791	＊Ｂ	＊Ｂ	「だってさ…今日も風子の見舞いに行ったって…そう言ってたもんな…」	`＊Ｂ@Just think about it... Ibuki-sensei said she'd gone to visit Fuko this morning, didn't she?
SEEN1426	2793	＊Ｂ	＊Ｂ	「風子を見た奴はさ、朝に見てるしさ…今も、俺たち、あいつと話してた」	`＊Ｂ@So she must have seen Fuko in the morning, right?... And at that same time, we were talking to Fuko at school.
SEEN1426	2795	＊Ｂ	＊Ｂ	「それにさ…ふたりが結婚を約束した話はさ…」	`＊Ｂ@Not to mention... their engagement...
SEEN1426	2797	＊Ｂ	＊Ｂ	「風子しか知らなかったんだよ…」	`＊Ｂ@Only Fuko knew about that...
SEEN1426	2799	＊Ｂ	＊Ｂ	「眠ってる風子しか…」	`＊Ｂ@And she's supposed to be in a coma...
SEEN1426	2801			ずっと、眠る風子に話しかけていたんだろう…。	Ibuki must have been talking to Fuko...
SEEN1426	2819	％Ａ	％Ａ	「本当に…幽霊なんでしょうか…」	`％Ａ@Is she... really a ghost...?
SEEN1426	2821	＊Ｂ	＊Ｂ	「さぁな…」	`＊Ｂ@No idea...
SEEN1426	2823	＊Ｂ	＊Ｂ	「でも、体はちゃんとあったけどな…」	`＊Ｂ@But her body seemed so real...
SEEN1426	2825			俺は自分の手のひらに目を落とす。	I look down at my hands.
SEEN1426	2827	＊Ｂ	＊Ｂ	「ものすごく不思議なことが起きてんのかな…」	`＊Ｂ@I wonder if something really really mysterious is happening...
SEEN1426	2846	％Ａ	％Ａ	「＊Ａさん、学校に戻りましょう」	`％Ａ@＊Ａ-san, let's go back to school.
SEEN1426	2849	％Ａ	％Ａ	「＊Ｂくん、学校に戻りましょう」	`％Ａ@＊Ｂ-kun, let's go back to school.
SEEN1426	2851	＊Ｂ	＊Ｂ	「今からか？」	`＊Ｂ@Now?
SEEN1426	2867	％Ａ	％Ａ	「だって、今も、あの子は学校にいるんですっ」	`％Ａ@Because she must be there now!
SEEN1426	2883			俺の手を取って、引っ張る。	％Ａ takes my hand and pulls me forward.
SEEN1426	2885	＊Ｂ	＊Ｂ	「あ、ああっ…」	`＊Ｂ@All right...
SEEN1426	2887			こいつは、他人のことになると、一生懸命になるんだから…。	Just how much is she willing to do for the sake of others...
SEEN1426	2927			ドアの窓から中を覗き込むと、風子は、椅子に座って作業に戻っていた。	Looking through the glass panel on the door, we find Fuko sitting on a chair still working on her carving.
SEEN1426	2946	％Ａ	％Ａ	「どうしてあんなことをしてるのか…＊Ａさんは知ってるんですか？」	`％Ａ@Why does she keep on doing that... Do you know why, ＊Ａ-san?
SEEN1426	2949	％Ａ	％Ａ	「どうしてあんなことをしてるのか…＊Ｂくんは知ってるんですか？」	`％Ａ@Why does she keep on doing that... Do you know why, ＊Ｂ-kun?
