scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN2506	3861	風子	风子	「風子…	`Fuko@Fuko...
SEEN2506	3877			参上」	 has arrived.
SEEN2506	3893	風子	风子	「風子も手伝います」	`Fuko@Fuko will also help out.
SEEN2506	3962	＊Ｂ	＊Ｂ	「言っただろ？　俺がやりたいからやっただけだって」	`＊Ｂ@Didn't I tell you? We only did this because I wanted to.
SEEN2506	3964	＊Ｂ	＊Ｂ	「謝るんなら、俺のほうだ。付き合わせて悪かったってな」	`＊Ｂ@If anyone should apologize, it's me. For having you come along with me, at least.
SEEN2506	4371	春原	春原	「ごぶっ！」	`Sunohara@*WHAM*
SEEN2506	4513	春原	春原	「ごぶっ！」	`Sunohara@*WHAM*
SEEN2506	4570	春原	春原	「ごぶっ！」	`Sunohara@*WHAM*
SEEN2506	4699	春原	春原	「ボク…	`Sunohara@I...
SEEN2506	4701			キャッチャー…	 did my best... 
SEEN2506	4703			ガンバッタヨネ…」	at catching... didn't I...?
SEEN2507	214	春原	春原	「ごぶっ！」	`Sunohara@*WHAM*
SEEN2507	538	春原	春原	「ごぶっ！」	`Sunohara@*WHAM*
SEEN2508	168			坂上智代。	 Tomoyo Sakagami.
SEEN2508	289			男の名だった。	is that of a guy.
SEEN2508	469			放課後の教室は、ドアも閉じられて、熱気だけが籠もって…	In that classroom after school, I somehow felt that she was just confining herself in her passion...
SEEN2508	471			いい思い出がすり替えられていくような気がしていた。	Trying to find a replacement for all the pleasant memories she was going  to lose.
SEEN2511	1910			どぐしっ！＿	 *BAM* 
SEEN2511	1964			智代に向けて蹴り返す。	I kick him back toward Tomoyo.
SEEN2511	2052			どぐしっ！＿	 *BAM* 
SEEN2511	2115			通りかかった杏がその春原の顔面に辞書をぶつけた。	Kyou, who happened to pass by, throws a dictionary at Sunohara's face.
SEEN2511	2121			ずべんっ！	*Whack*
SEEN2511	2203			どぐしっ！＿	 *BAM* 
SEEN2511	2256	風子	风子	「ヒトデライズド！	`Fuko@Starfishilized!
SEEN2511	2258			意味なし」	which doesn't actually mean anything.
SEEN2511	2265	風子	风子	「わっ、ヘンなの飛んできましたっ」	`Fuko@Wah! Something strange is flying up to me!
SEEN2511	2270			そこへ通りがかった風子が木製の彫刻で春原の頭をぶっ叩く。	Then Fuko, who was passing by, beats the living daylights out of Sunohara's face.
SEEN2511	2276			ぱこーーんっ！	*KA-BAM*
SEEN2511	2358			どぐしっ！＿	 *BAM* 
SEEN2511	2422			どすぅっ！	*THUD*
SEEN2511	2504			どぐしっ！＿	 *BAM* 
SEEN2511	2564			その中のひとりが春原にボディブロー。	One of them gives Sunohara a body blow.
SEEN2511	2570			ばきぃっ！	*SLAM*
SEEN2511	2652			どぐしっ！＿	 *BAM* 
SEEN2511	2714			どすんっ！	*THUMP*
SEEN2511	2796			どぐしっ！＿	 *BAM* 
SEEN2511	2850	幸村	幸村	「ほわちゃ！」	`Koumura@HOWACHAA!
SEEN2511	2859	＊Ｂ	＊Ｂ	「嘘だろッ!?」	`＊Ｂ@Are you kidding me?!
SEEN2511	2939			どぐしっ！＿	 *BAM* 
SEEN2511	2982			渾身の蹴りにより、春原の体が吹き飛ぶ。	Sunohara goes flying due to the force of Tomoyo's kicks.
SEEN2511	2998			廊下を滑っていって、突き当たりの壁で頭を打っていた。	He slides across the corridor and crashes head-first into the wall.
SEEN2511	3015			廊下を滑っていって、突き当たりの壁で頭を打っていた。	He slides across the corridor and crashes head-first into the wall.
SEEN2511	3018	客	顾客	「大道芸か？」	`Customer@Oh, street performers?
SEEN2511	3482			男に驚いている暇なんてなかった。	But they didn't have time to be surprised.
SEEN2511	3498			宙に智代が舞っていた。	Tomoyo leaps up and flies in the air.
SEEN2511	3500			その体がくるっ、と翻る。	Her body then turns and makes a spin.
SEEN2511	3502			同時、	At the same time, 
SEEN2511	3504			バキィッ！	I hear a cracking sound,
SEEN2511	3507			と音がして、鋭い回し蹴りが男の顎を打ち抜いていた。	 and her roundhouse kick hits the guy straight in the jaw.
SEEN2511	3509			先の男と同じように膝から崩れ落ちる。	He drops to his knees, just like the other guy.
SEEN2511	3514			智代はクマの頭を拾い上げ、再びかぶる。	Tomoyo picks up the bear head and puts it on again.
SEEN2511	3531	風子	风子	「風子…	`Fuko@Fuko... 
SEEN2511	3547			参上する暇なかったです」	Didn't manage to arrive in time.
SEEN2511	3563	風子	风子	「ていうか、あんなのとやってたらシャレになってなかったです！」	`Fuko@No, wait, if Fuko went up against something like that, it wouldn't end well!
SEEN2511	3579	風子	风子	「それでは」	`Fuko@Well, then.
SEEN2511	3637			古河がひとり、困惑していた。	Furukawa's the only one baffled in this situation.
SEEN2511	3641			ひとり、困惑している。	The girl's the only one baffled in this situation.
SEEN2511	3644			自分のせいで、$[大事$/おおごと$]になってしまったと思っているのだろう。	She must be thinking it's all her fault something terrible happened.
SEEN2511	4648	美佐枝	美佐枝	「今日は遊んでやるか」	`Misae@I guess I'll play with him today.
SEEN2511	4650	美佐枝	美佐枝	「本当…	`Misae@Really... 
SEEN2511	4652			世話のかかる奴だわ」	He's such a burden.
SEEN2511	5262			俺にはよくわからなかった。	I wasn't able to figure it out.
SEEN2511	5264			あんなにも、自分の近くにいる人間に迷惑をかけて。	Because she was causing so much trouble for the people close to her.
SEEN2511	5266			俺なんかのために、他人の期待を裏切って。	Betraying all their expectations, only for the likes of me.
SEEN2511	5268			手の中では…	In my hand... 
SEEN2511	5272			アイスが溶け続けていた。	the ice cream continues to melt.
SEEN2513	303	風子	风子	「風子…	`Fuko@Fuko...
SEEN2513	305			参上」	 has arrived.
SEEN2513	321	風子	风子	「あの…」	`Fuko@Erm...
SEEN2514	171	智代	智代	「まるで、歩いていくのは…	`Tomoyo@As if...
SEEN2514	173			私ひとりのようだ」	 I'm the only one who's walking.
SEEN2514	192	智代	智代	「どうした…どうして、否定しない」	`Tomoyo@What's wrong... Why aren't you denying it?
SEEN2514	1143			智代は、どんな顔をして、今受話器を握っているのだろうか。	I wonder what kind of face Tomoyo's making while holding the receiver on the other end of the call.
SEEN2514	1145			こんな弱音を吐く智代の顔なんて、想像もつかなかった。	I couldn't imagine Tomoyo's face as she grumbled petty things like this.
SEEN2514	1400	男子生徒	男生	「貼り出しに載ったことある？」	`Male Student@Has your name ever been on the poster?
SEEN2514	1836	智代	智代	「うん…わかった」	`Tomoyo@Okay... I get it.
SEEN2514	1840	智代	智代	「だから…	`Tomoyo@So... 
SEEN2514	1842			早く、冗談だと言ってくれ」	Please say it's a joke now.
SEEN2514	1844	智代	智代	「辛い思いをするのは嫌だと言っているだろう…」	`Tomoyo@Didn't I tell you I don't like feeling heartbroken like this...?
SEEN2514	2084			恋じゃなかったんだ」	wasn't love.
SEEN2514	2120			別れよう」	Let's break up.
SEEN2514	2281			好きだった。	Tomoyo...
SEEN2514	3478	春原	春原	「おまえにはイマジネーションというものがないのか？」	`Sunohara@Don't you have any IMAGINATION?
SEEN2514	3494	春原	春原	「目を閉じてみな…	`Sunohara@Just try closing your eyes...
SEEN2514	3496			きっと、	 I'm sure you will spread your wings...
SEEN2514	3498			エロの翼が広がるさ」	 of porn.
SEEN2514	4295			遠い。	, I could only smile.
